range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 41.8125, s: 40.0000, e: -1.8125, i: 0.8810, d: 0.1875, PT: -0.0725, IT: 0.8810, DT: 0.3938, O: 0.4148
i: 42.1875, s: 40.0000, e: -2.1875, i: 0.8793, d: 0.3750, PT: -0.0875, IT: 0.8793, DT: 0.7875, O: 0.0042
i: 42.3750, s: 40.0000, e: -2.3750, i: 0.8774, d: 0.1875, PT: -0.0950, IT: 0.8774, DT: 0.3938, O: 0.3886
i: 42.4375, s: 40.0000, e: -2.4375, i: 0.8754, d: 0.0625, PT: -0.0975, IT: 0.8754, DT: 0.1313, O: 0.6467
i: 42.8750, s: 40.0000, e: -2.8750, i: 0.8731, d: 0.4375, PT: -0.1150, IT: 0.8731, DT: 0.9188, O: 0.0000
i: 43.0000, s: 40.0000, e: -3.0000, i: 0.8707, d: 0.1250, PT: -0.1200, IT: 0.8707, DT: 0.2625, O: 0.4882
i: 43.1250, s: 40.0000, e: -3.1250, i: 0.8682, d: 0.1250, PT: -0.1250, IT: 0.8682, DT: 0.2625, O: 0.4807
i: 43.5000, s: 40.0000, e: -3.5000, i: 0.8654, d: 0.3750, PT: -0.1400, IT: 0.8654, DT: 0.7875, O: 0.0000
i: 43.8125, s: 40.0000, e: -3.8125, i: 0.8624, d: 0.3125, PT: -0.1525, IT: 0.8624, DT: 0.6562, O: 0.0536
i: 44.0000, s: 40.0000, e: -4.0000, i: 0.8592, d: 0.1875, PT: -0.1600, IT: 0.8592, DT: 0.3938, O: 0.3054
i: 44.0625, s: 40.0000, e: -4.0625, i: 0.8559, d: 0.0625, PT: -0.1625, IT: 0.8559, DT: 0.1313, O: 0.5622
i: 44.1875, s: 40.0000, e: -4.1875, i: 0.8526, d: 0.1250, PT: -0.1675, IT: 0.8526, DT: 0.2625, O: 0.4226
i: 44.4375, s: 40.0000, e: -4.4375, i: 0.8490, d: 0.2500, PT: -0.1775, IT: 0.8490, DT: 0.5250, O: 0.1465
i: 44.5000, s: 40.0000, e: -4.5000, i: 0.8454, d: 0.0625, PT: -0.1800, IT: 0.8454, DT: 0.1313, O: 0.5342
i: 44.7500, s: 40.0000, e: -4.7500, i: 0.8416, d: 0.2500, PT: -0.1900, IT: 0.8416, DT: 0.5250, O: 0.1266
i: 45.0000, s: 40.0000, e: -5.0000, i: 0.8376, d: 0.2500, PT: -0.2000, IT: 0.8376, DT: 0.5250, O: 0.1126
i: 45.1875, s: 40.0000, e: -5.1875, i: 0.8335, d: 0.1875, PT: -0.2075, IT: 0.8335, DT: 0.3938, O: 0.2322
i: 45.4375, s: 40.0000, e: -5.4375, i: 0.8291, d: 0.2500, PT: -0.2175, IT: 0.8291, DT: 0.5250, O: 0.0866
i: 45.5625, s: 40.0000, e: -5.5625, i: 0.8247, d: 0.1250, PT: -0.2225, IT: 0.8247, DT: 0.2625, O: 0.3397
i: 45.7500, s: 40.0000, e: -5.7500, i: 0.8201, d: 0.1875, PT: -0.2300, IT: 0.8201, DT: 0.3938, O: 0.1963
i: 45.8750, s: 40.0000, e: -5.8750, i: 0.8154, d: 0.1250, PT: -0.2350, IT: 0.8154, DT: 0.2625, O: 0.3179
i: 46.0625, s: 40.0000, e: -6.0625, i: 0.8105, d: 0.1875, PT: -0.2425, IT: 0.8105, DT: 0.3938, O: 0.1743
i: 46.3125, s: 40.0000, e: -6.3125, i: 0.8055, d: 0.2500, PT: -0.2525, IT: 0.8055, DT: 0.5250, O: 0.0280
i: 46.4375, s: 40.0000, e: -6.4375, i: 0.8003, d: 0.1250, PT: -0.2575, IT: 0.8003, DT: 0.2625, O: 0.2803
i: 46.5625, s: 40.0000, e: -6.5625, i: 0.7951, d: 0.1250, PT: -0.2625, IT: 0.7951, DT: 0.2625, O: 0.2701
