range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.8, s: 50.0, e: -4.8, i: 0.0, d: 54.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.6, s: 50.0, e: -4.6, i: 0.0, d: 54.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.6, s: 50.0, e: -4.6, i: 0.0, d: 54.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.6, s: 50.0, e: -4.6, i: 0.0, d: 54.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.6, s: 50.0, e: -4.6, i: 0.0, d: 54.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.6, s: 50.0, e: -4.6, i: 0.0, d: 54.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.4, s: 50.0, e: -4.4, i: 0.0, d: 54.4, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.3, s: 50.0, e: -4.3, i: 0.0, d: 54.3, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.2, s: 50.0, e: -4.2, i: 0.0, d: 54.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.2, s: 50.0, e: -4.2, i: 0.0, d: 54.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.2, s: 50.0, e: -4.2, i: 0.0, d: 54.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.2, s: 50.0, e: -4.2, i: 0.0, d: 54.2, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.1, s: 50.0, e: -4.1, i: 0.0, d: 54.1, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 54.0, s: 50.0, e: -4.0, i: 0.0, d: 54.0, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.9, s: 50.0, e: -3.9, i: 0.0, d: 53.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.8, s: 50.0, e: -3.8, i: 0.0, d: 53.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.8, s: 50.0, e: -3.8, i: 0.0, d: 53.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.8, s: 50.0, e: -3.8, i: 0.0, d: 53.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.8, s: 50.0, e: -3.8, i: 0.0, d: 53.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.8, s: 50.0, e: -3.8, i: 0.0, d: 53.8, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
i: 53.6, s: 50.0, e: -3.6, i: 0.0, d: 53.6, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
